ID,TDU,REP,PRODUCT,KWH500,KWH1000,KWH2000,RATE_TYPE,TERM_LENGTH,RENEWABLE,PREPAID,TOU,PROMOTION,EFL_URL
1886,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,10.9,8,7.6,Fixed,3,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen.pdf
1891,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,11.6,8.7,8.3,Fixed,6,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen.pdf
2250,TEXAS-NEW MEXICO POWER COMPANY,AMBIT ENERGY,Lone Star Select 24 Month Term,12.6,10.3,10.1,Fixed,24,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS24MNG24RNG24_531_287_1
2492,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.9,9,8.6,Fixed,18,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-18-nongreen-tree.pdf
2243,TEXAS-NEW MEXICO POWER COMPANY,YEP,Green Earth Autopay E-plan ,12.1,9.2,8.8,Fixed,9,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-9-green.pdf
2193,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12.2,9.3,8.9,Fixed,6,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-6-green.pdf
2203,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan ,11.2,8.3,7.9,Fixed,9,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen.pdf
2198,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12,9.1,8.7,Fixed,9,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-green.pdf
2497,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.7,8.8,8.4,Fixed,12,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf
2507,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.8,8.9,8.5,Fixed,6,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen-tree.pdf
2502,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.4,8.5,8.1,Fixed,9,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen-tree.pdf
2848,TEXAS-NEW MEXICO POWER COMPANY,AMIGO ENERGY,Amigo Essentials 6 Month,12,7.6,7.5,Fixed,6,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F27335_3698754.pdf
2512,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.1,8.2,7.8,Fixed,3,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen-tree.pdf
2858,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,10.5,7.6,7.2,Variable,1,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen-tree.pdf
4441,TEXAS-NEW MEXICO POWER COMPANY,JUST ENERGY,Power Flex,11.6,10.2,10.1,Variable,1,11,FALSE,FALSE,TRUE,http://bit.ly/2mVRrcA
4319,TEXAS-NEW MEXICO POWER COMPANY,YEP,Operation USO AutoPay E-Plan ,12,9.1,8.7,Fixed,24,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen-uso.pdf
4154,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,11.6,8.7,8.3,Fixed,36,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen.pdf
4160,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan ,12.5,9.6,9.2,Fixed,36,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-green.pdf
4190,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant Freedom 6 Month,13.9,10.8,10.4,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/6/P0000/EN
4686,TEXAS-NEW MEXICO POWER COMPANY,RELIANT,Reliant Clear Flex Plan,13.2,10.3,9.9,Variable,1,5,FALSE,FALSE,FALSE,https://www.reliant.com/files/09017518812aa7ba.pdf
4500,TEXAS-NEW MEXICO POWER COMPANY,AP GAS & ELECTRIC (TX) LLC,Affordable Saver 12,10.7,8.9,8.9,Fixed,12,12,FALSE,FALSE,FALSE,https://enroll.apge.com/Offer/getDocument?documentId=10&offerCode=TNM_RES_12_FIXED_WEB
4560,TEXAS-NEW MEXICO POWER COMPANY,ENTRUST ENERGY INC,Entrust 12,12.4,11.5,11.1,Fixed,12,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN3F12039_20170425_eng_5edb49b7-3a13-4ded-8541-9b1454bed769.pdf
4567,TEXAS-NEW MEXICO POWER COMPANY,ENTRUST ENERGY INC,Texas Refresh 12,12.9,12,11.6,Fixed,12,100,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY3F12009_20170425_eng_fc0e81f4-8cc6-4d42-964e-25fe5efe36b2.pdf
5095,TEXAS-NEW MEXICO POWER COMPANY,BOUNCE ENERGY INC,Fast Fixed 4,12.5,11.1,10.5,Fixed,4,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/fastfixed4-040417.pdf
4886,TEXAS-NEW MEXICO POWER COMPANY,PENNYWISE POWER ,Wise Buy 7,9.2,8.3,7.9,Fixed,7,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/0901751881336273.pdf
5099,TEXAS-NEW MEXICO POWER COMPANY,PENNYWISE POWER ,Wise Buy 12,11.7,8.8,8.4,Fixed,12,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/09017518812c54a7.pdf
5118,TEXAS-NEW MEXICO POWER COMPANY,ENTRUST ENERGY INC,Entrust Monthly,13.5,12.6,12.2,Variable,0,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN3V1035_20170425_eng_64af9cb1-e919-4f13-be9b-f29aa8aa1b27.pdf
3061,TEXAS-NEW MEXICO POWER COMPANY,TRIEAGLE ENERGY LP,Eagle 12,9.9,9.4,9.1,Fixed,12,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-TNMP-12mo.pdf
3078,TEXAS-NEW MEXICO POWER COMPANY,TRIEAGLE ENERGY LP,Green Eagle 36,10.1,9.6,9.3,Fixed,36,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-TNMP-G-36mo.pdf
3119,TEXAS-NEW MEXICO POWER COMPANY,TRIEAGLE ENERGY LP,Green Eagle 12,10.2,9.7,9.4,Fixed,12,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-TNMP-G-12mo.pdf
3201,TEXAS-NEW MEXICO POWER COMPANY,TRIEAGLE ENERGY LP,Eagle 36,9.7,9.2,8.9,Fixed,36,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-TNMP-36mo.pdf
3250,TEXAS-NEW MEXICO POWER COMPANY,CHAMPION ENERGY SERVICES LLC,Champ Saver-3,8.8,7.9,7.5,Fixed,3,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=190&term=3190
3456,TEXAS-NEW MEXICO POWER COMPANY,AMIGO ENERGY,Amigo Essentials 12 Month,12.4,8,7.9,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F5575_3698753.pdf
4116,TEXAS-NEW MEXICO POWER COMPANY,YEP,Autopay E-Plan ,11.7,8.8,8.4,Fixed,36,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen.pdf
3852,TEXAS-NEW MEXICO POWER COMPANY,AMIGO ENERGY,Amigo Essentials 24 Month,12.2,7.8,7.7,Fixed,24,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F5580_3698753.pdf
4121,TEXAS-NEW MEXICO POWER COMPANY,YEP,Green Earth Autopay E-plan ,12.6,9.7,9.3,Fixed,36,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-green.pdf
4136,TEXAS-NEW MEXICO POWER COMPANY,YEP,Operation USO AutoPay E-plan,11.8,8.9,8.5,Fixed,12,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen-uso.pdf
4126,TEXAS-NEW MEXICO POWER COMPANY,YEP,Operation USO AutoPay E-Plan,10.6,7.7,7.3,Variable,1,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen-uso.pdf
4149,TEXAS-NEW MEXICO POWER COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.8,8.9,8.5,Fixed,36,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen-tree.pdf
4141,TEXAS-NEW MEXICO POWER COMPANY,YEP,Operation USO AutoPay E-plan,11.9,9,8.6,Fixed,36,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen-uso.pdf
6571,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant AutoSave 24 Month,13.4,10.3,9.9,Fixed,24,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/24/P0000/EN
6581,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant AutoSave 36 Month,13.6,10.5,10.1,Fixed,36,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/36/P0000/EN
6591,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant Green 6 Month,14.2,11.1,10.7,Fixed,6,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/6/P0000/EN
6601,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant Green 12 Month,13.8,10.7,10.3,Fixed,12,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/12/P0000/EN
7580,TEXAS-NEW MEXICO POWER COMPANY,BREEZE ENERGY LLC,PAY AS YOU GO PLAN - 100% Pure. 100% Green. 100% Texas Wind.,10.3,9.3,8.8,Variable,0,100,TRUE,FALSE,FALSE,https://breezeenergy.com/documents/Breeze_EFL_prepaid_eng.pdf
6620,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant Green 24 Month,14.1,11,10.6,Fixed,24,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/24/P0000/EN
6638,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant Green 36 Month,14.3,11.2,10.8,Fixed,36,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/36/P0000/EN
5396,TEXAS-NEW MEXICO POWER COMPANY,ENTRUST ENERGY INC,Entrust 6,12.4,11.5,11.1,Fixed,6,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN3F6016_20170425_eng_22550397-fa8b-4e4f-a0f3-81d15cdcd3df.pdf
5733,TEXAS-NEW MEXICO POWER COMPANY,PENNYWISE POWER ,Wise Buy 4,11.6,9.7,8.8,Fixed,4,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/0901751881336261.pdf
5785,TEXAS-NEW MEXICO POWER COMPANY,PENNYWISE POWER ,Wise Buy 3,9.5,8.6,8.2,Fixed,3,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/09017518812d4746.pdf
6032,TEXAS-NEW MEXICO POWER COMPANY,TARA ENERGY,Tara Energy Simplicity 12,12.7,8.3,8.2,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.taraenergy.com/EFLPDFS/TE_Res_EFL_F39004_3698858.pdf
6063,TEXAS-NEW MEXICO POWER COMPANY,GEXA ENERGY,Gexa Green 12,14.6,11.7,11.3,Fixed,12,100,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39804&rkey=8480|1001|1005|19716
6064,TEXAS-NEW MEXICO POWER COMPANY,GEXA ENERGY,Gexa 12,14.4,11.5,11.1,Fixed,12,6,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39782&rkey=8480|1320|1005|19705
6456,TEXAS-NEW MEXICO POWER COMPANY,CHAMPION ENERGY SERVICES LLC,Champ Saver-12,9.6,8.7,8.3,Fixed,12,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=192&term=12192
6169,TEXAS-NEW MEXICO POWER COMPANY,SUMMER ENERGY LLC,12 Months Texas Summer Savings Product,12.6,9.8,9.3,Fixed,12,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL12MPTCSUMRES4M9ALL051117.pdf
6170,TEXAS-NEW MEXICO POWER COMPANY,SUMMER ENERGY LLC,9 Months Texas Summer Savings Product,12.7,9.9,9.5,Fixed,9,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL9MPTCSUMRES4M9ALL051117.pdf
6171,TEXAS-NEW MEXICO POWER COMPANY,SUMMER ENERGY LLC,6 Months Texas Summer Savings Product,13.1,10.2,9.8,Fixed,6,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL6MPTCSUMRES4M9ALL051117.pdf
6172,TEXAS-NEW MEXICO POWER COMPANY,SUMMER ENERGY LLC,3 Months Texas Summer Savings Product ,12.5,9.7,9.2,Fixed,3,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL3MPTCSUMRES4M9ALL051117.pdf
6461,TEXAS-NEW MEXICO POWER COMPANY,CHAMPION ENERGY SERVICES LLC,Champ Saver-24,10.2,9.3,8.9,Fixed,24,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=197&term=24197
6471,TEXAS-NEW MEXICO POWER COMPANY,CHAMPION ENERGY SERVICES LLC,Green Energy-12,9.9,9,8.6,Fixed,12,100,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=193&term=12193
6550,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant AutoSave 6 Month,13.5,10.4,10,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/6/P0000/EN
6563,TEXAS-NEW MEXICO POWER COMPANY,BRILLIANT ENERGY LLC,Brilliant AutoSave 12 Month,14.3,11.2,10.8,Fixed,12,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/12/P0000/EN
8676,TEXAS-NEW MEXICO POWER COMPANY,ENTRUST ENERGY INC,Entrust 3,13,12.1,11.7,Fixed,3,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN3F3016_20170425_eng_2681b6ea-40df-41fe-92c6-89861ee68695.pdf
8386,TEXAS-NEW MEXICO POWER COMPANY,TXU ENERGY,TXU Energy Smart Edge 12,13.4,8.5,10.7,Fixed,12,6,FALSE,FALSE,FALSE,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=NMX30SMTED12AE&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_TNMPOWR
8884,TEXAS-NEW MEXICO POWER COMPANY,TRIEAGLE ENERGY LP,SMART Energy 12,10.7,10.2,9.9,Fixed,12,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-TNMP-WBH-12mo.pdf
8886,TEXAS-NEW MEXICO POWER COMPANY,TRIEAGLE ENERGY LP,SMART Energy 36,10.1,9.6,9.3,Fixed,36,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-TNMP-WBH-36mo.pdf
8789,TEXAS-NEW MEXICO POWER COMPANY,GEXA ENERGY,EveryDay EveryNight Low Price Plan,13.2,10.3,9.9,Fixed,12,6,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39768&rkey=13600|2020|1005|19698
9155,TEXAS-NEW MEXICO POWER COMPANY,BREEZE ENERGY LLC,Breeze 12 - 100% Pure. 100% Green. 100% Texas Wind.,9.1,7.9,7.3,Fixed,12,100,FALSE,FALSE,FALSE,https://breezeenergy.com/documents/Breeze_EFL_12month_en.pdf
9271,TEXAS-NEW MEXICO POWER COMPANY,TARA ENERGY,Tara Energy Simplicity 24,12.6,8.2,8.1,Fixed,24,11,FALSE,FALSE,FALSE,https://webs.taraenergy.com/EFLPDFS/TE_Res_EFL_F39009_3698858.pdf
9402,TEXAS-NEW MEXICO POWER COMPANY,FRONTIER UTILITIES,Platinum Power As You Go,13.2,12.1,11.5,Variable,1,0,TRUE,FALSE,FALSE,http://portal.frontierutilities.com/frontierefl/eflviewer.aspx?lang=EN&prodcode=PLAT_PAYG
9538,TEXAS-NEW MEXICO POWER COMPANY,SPARK ENERGY LLC,Price Protect 6,9.9,7.2,6.8,Fixed,6,0,FALSE,FALSE,FALSE,https://www.sparkenergy.com/api/enrollment-product-document/20705/EFL/ptc/TNMP/Electric/75077
9539,TEXAS-NEW MEXICO POWER COMPANY,SPARK ENERGY LLC,Price Protect 12,10.9,8.2,7.8,Fixed,12,0,FALSE,FALSE,FALSE,https://www.sparkenergy.com/Document/pdf/EFL/EFL_20712.PDF
